director,id
mel stuart,3451
jan bucquoy,71938
jack clayton,25630
charles crichton,8929
terry jones,10707
arthur penn,6448
john sturges,14520
frédéric mitterrand,123827
emile ardolino,716
ted kotcheff,16544
alan j. pakula,6349
sam henry kass,1096170
michael covert,144130
greg spence,56746
hugo van lawick,928583
michael kreihsl,939320
temístocles lópez,1124024
claude nuridsany,57226
marie pérennou,57227
alan taylor,47005
chris cullari,1114467
benoît jacquot,229263
jaco van dormael,107490
nils gaup,22558
peter cohn,1086972
miloš forman,3974
rich wilkes,53345
r. j. cutler,89814
david van taylor,621628
mark rydell,21958
ate de jong,16672
joe dante,4600
gustavo graef-marino,259792
howard zieff,34611
bruce labruce,1115333
rick castro,1388631
russ hexter,932368
sharon pollack,1415878
michael ray rhodes,109635
raúl ruiz,121585
susan w. dryfoos,1080611
john l'ecuyer,159767
leon gast,65608
daniel vigne,38494
jan švankmajer,83784
anthony mann,40199
alfred l. werker,81930
vittorio de sica,12329
jean delannoy,70854
norman z. mcleod,82389
elliott nugent,89914
volker schlöndorff,10249
martine dugowson,933201
nina menkes,1038016
eric red,54839
barbara kopple,22020
cathy caplan,929918
tom haneke,929919
lawrence silk,929920
phillip rhee,82442
peter greenaway,30309
michel blanc,21175
peter chelsom,36804
fred olen ray,31155
gabriele salvatores,55916
errol morris,18533
mark aldo miceli,64073
jennie livingston,107831
lou adler,69500
irvin kershner,10930
sergio leone,4385
bruce robinson,8966
david lean,12238
robert mulligan,8482
richard marquand,19800
wim wenders,2303
carol reed,15378
akira kurosawa,5026
john ford,8500
andrei tarkovsky,8452
george roy hill,9577
hal ashby,4964
ingmar bergman,6648
tom stoppard,372
savage steve holland,87565
fritz lang,68
jean-jacques beineix,37451
allan moyle,55790
franklin j. schaffner,13265
katsuhiro ōtomo,185
stuart rosenberg,13859
charlie chaplin,13848
james algar,5690
paul satterfield,11428
jim handley,11430
ford beebe,11431
t. hee,11432
fred zinnemann,4065
jeannot szwarc,16187
godfrey reggio,68993
fred m. wilcox,12300
phil alden robinson,23968
keoni waxman,92436
john g. young,227875
doug pray,105802
john murlowski,110834
susan streitfeld,135163
larry bishop,34721
jon sherman,186758
greta schiller,116799
herb gardner,144256
carl prechezer,83555
tony randel,52194
steve white,1673596
damiano damiani,35256
tom bery,548847
paul morrissey,18627
fred walton,62556
irvin s. yeaworth jr.,56141
jeffrey bloom,178486
james whale,2917
dan curtis,29648
j. lee thompson,18669
paul schrader,1035
f.w. murnau,9076
augusto caminito,59622
mario caiano,100053
luigi cozzi,88164
klaus kinski,14277
maurizio lucidi,100054
bob rafelson,19450
kevin spacey,1979
barbra streisand,10400
lars von trier,42
ole bornedal,22676
jonathan frakes,2388
scott hicks,33433
billy bob thornton,879
michelangelo antonioni,15189
joe berlinger,69237
bruce sinofsky,69238
hans petter moland,95972
patrice leconte,37626
curzio malaparte,236579
claire denis,9888
nicholas meyer,1788
william shatner,1748
leonard nimoy,1749
patricia birch,56755
daniel j. sullivan,1202000
joseph h. lewis,86004
joe alves,8558
alexander payne,13235
cameron crowe,11649
ethan coen,1224
anjelica huston,5657
jerry zaks,59635
